Bed_Number,beds_1A,gsize_1A,facies_1A,lith_1A,amal_1A,beds_1B,gsize_1B,facies_1B,lith_1B,amal_1B,beds_1C,gsize_1C,facies_1C,lith_1C,amal_1C,beds_2A,gsize_2A,facies_2A,lith_2A,amal_2A,beds_3A,gsize_3A,facies_3A,lith_3A,amal_3A,beds_3B,gsize_3B,facies_3B,lith_3B,amal_3B,beds_4A,gsize_4A,facies_4A,lith_4A,amal_4A,beds_5A,gsize_5A,facies_5A,lith_5A,amal_5A,beds_5B,gsize_5B,facies_5B,lith_5B,amal_5B,beds_5C,gsize_5C,facies_5C,lith_5C,amal_5C,beds_6A,gsize_6A,facies_6A,lith_6A,amal_6A,beds_7A,gsize_7A,facies_7A,lith_7A,amal_7A,beds_7B,gsize_7B,facies_7B,lith_7B,amal_7B,beds_7C,gsize_7C,facies_7C,lith_7C,amal_7C,beds_7D,gsize_7D,facies_7D,lith_7D,amal_7D,beds_8A,gsize_8A,facies_8A,lith_8A,amal_8A,beds_8B,gsize_8B,facies_8B,lith_8B,amal_8B,beds_8C,gsize_8C,facies_8C,lith_8C,amal_8C,beds_9A,gsize_9A,facies_9A,lith_9A,amal_9A,beds_10A,gsize_10A,facies_10A,lith_10A,amal_10A,beds_11A,gsize_11A,facies_11A,lith_11A,amal_11A,beds_12A,gsize_12A,facies_12A,lith_12A,amal_12A,beds_13A,gsize_13A,facies_13A,lith_13A,amal_13A,beds_13B,gsize_13B,facies_13B,lith_13B,amal_13B
72,,,,,,,,,,,,,,,,,,,,,33,3,4,1,1,,,,,,13,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,11,6,4,2,0,,,,,,1,7,3,2,1,6.3,5,3,1,,,,,,,,,,,
73,,,,,,,,,,,21,3,4,1,0,,,,,,24,3,4,1,1,10,5,4,1,0,11,4,4,1,0,,,,,,,,,,,2,5,3,2,0,,,,,,0.3,5,3,2,,,,,,,,,,,,,,,,,,,,2,,3,4,3,2,,,,,,,,,,,,,,,,,1.3,7,3,2,1,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,1,1,,,,,,,,,,,,,,,,,,,,,0.2,5,3,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,3,2,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,12,4,4,1,0,11,4,4,1,0,6,3,3,1,1,,,,,,,,,,,3,5,3,2,0,,,,,,0.3,5,3,2,,,,,,,,,,,,,,,,,,,,2,,4,4,3,2,,,,,,,5,5,3,2,0,,,,,,0.4,6,3,2,,,,,,,,,,,,,,,,
76,,,,,,,,,,,13,3,4,1,0,,,,,,,,,,,500,5,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,,,,,,,,,,,
77,,,,,,,,,,,30,4,4,1,0,,,,,,20,3,3,1,0,,,,,,12,3,4,1,0,,,,,,,,,,,2,4,3,2,0,,,,,,1.8,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,1,0,,,,,,0.8,5,3,2,,2.5,5,3,2,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,47,7,4,2,0,,,,,,3,4,3,1,0,,,,,,,,,,,,,,,,,,,,,0.2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,32,3,4,1,0,,,,,,7,4,3,1,0,,,,,,,,,,,7,4,3,2,0,,,,,,0.4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,2,2,0,,,,,,12,3,6,2,1,,,,,,,,,,,,,,,
80,,,,,,,,,,,20,3,4,1,0,,,,,,1,4,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,5,2,1,1,3,3,1,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,3,1,0,,,,,,,,,,,6,3,3,1,0,,,,,,15,7,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,1,4,3,2,0,,,,,,8,3,3,1,0,,,,,,,,,,,350,3,7,2,0,,,,,,5,7,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,,15,6,4,2,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,26,3,3,1,0,,,,,,9,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,1,0,,,,,,15,8,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6,4,2,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,4,1,0,,,,,,,,,,,,,,,,,,,,,10,7,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,5,3,2,0,,,,,,1,4,3,1,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,16,3,4,1,0,,,,,,,,,,,2,4,3,1,0,,,,,,2,7,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,4,1,,,,,,,,,,,
87,,,,,,,,,,,7,3,3,1,0,,,,,,,,,,,,,,,,6,6,3,2,0,,,,,,,,,,,,,,,,,,,,,10,6,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,4,1,0,,,,,,2,4,3,1,,9,6,3,2,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,8,3,3,1,0,,,,,,4,6,3,2,0,,,,,,,,,,,6,4,3,1,0,,,,,,6,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,14,4,4,1,0,,,,,,1,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,4,1,0,,,,,,40,4,6,2,1,1.6,5,3,2,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,6,3,3,1,0,,,,,,26,4,4,1,1,,,,,,,,,,,54,5,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,4,6,2,1,7.5,3,6,1,,,,,,,,,,,
91,,,,,,,,,,,28,3,4,1,0,,,,,,1,5,3,2,0,,,,,,20,5,4,1,1,,,,,,,,,,,,,,,,,,,,,0.7,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,5,3,2,0,,,,,,1.5,8,5,2,1,7,6,3,2,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,8,3,3,1,0,,,,,,7,3,3,1,0,,,,,,,,,,,15,4,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,12,3,4,1,1,,,,,,2,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,8,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,4,1,0,,,,,,4,7,3,2,,10,3,4,1,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,7,3,3,1,0,,,,,,25,3,4,1,1,,,,,,,,,,,17,8,4,2,0,,,,,,13,5,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,12,3,4,1,1,,,,,,1,5,3,2,0,,,,,,27,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,4,1,0,,,,,,3,6,3,2,,6,3,3,1,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,2,1,,,,,,,,,,,40,8,4,2,0,,,,,,17,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,39,4,4,1,1,,,,,,20,3,4,1,0,,,,,,20,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,3,1,0,,,,,,1.1,3,3,1,,5.5,3,3,1,,,,,,,,,,,
98,,,,,,,,,,,25,3,4,1,1,,,,,,2,5,3,2,0,,,,,,,,,,,,,,,,,,,,,4,8,4,2,0,,,,,,6,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,2,0,,,,,,1.1,6,3,2,,10,7,4,2,,,,,,,,,,,
100,,,,,,,,,,,80,4,4,1,0,,,,,,6,3,3,1,0,,,,,,11,8,6,1,0,,,,,,,,,,,24,3,3,1,0,,,,,,15,7,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,3,5,3,2,0,,,,,,13,8,6,1,0,,,,,,,,,,,,,,,,,,,,,9.5,7,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,2,0,,,,,,3,6,3,2,,5,6,3,2,,,,,,,,,,,
102,,,,,,,,,,,20,3,4,1,0,,,,,,,,,,,,,,,,4,5,3,1,0,,,,,,,,,,,7,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,13,3,4,1,0,,,,,,5,6,3,2,0,,,,,,,,,,,8,3,3,1,1,,,,,,12.5,7,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,2,0,,,,,,3,4,3,1,,5,6,3,2,,,,,,,,,,,
104,,,,,,,,,,,40,3,4,1,0,,,,,,,,,,,,,,,,21,3,4,1,0,,,,,,,,,,,15,3,4,1,1,,,,,,8,5,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,6,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,3,2,,3,3,3,1,1,,,,,,,,,,
106,,,,,,,,,,,30,3,4,1,0,,,,,,2,5,3,2,0,,,,,,16,3,4,1,0,,,,,,,,,,,6,6,3,2,0,,,,,,1.6,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,4,1,1,,,,,,,,,,,3,3,3,1,1,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,37,3,4,1,0,,,,,,5,4,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,4,1,0,,,,,,,,,,,5,6,3,2,0,,,,,,9,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3,3,1,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,1,6,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,4,1,0,,,,,,,,,,,8,5,3,1,1,,,,,,1.5,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,3,3,1,1,,,,,,,,,,,1.7,6,3,2,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,6,5,3,2,0,,,,,,14,3,4,1,0,,,,,,,,,,,9,5,3,1,1,,,,,,45,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,4,1,1,,,,,,,,,,,3,3,3,1,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,3,2,0,,,,,,,,,,,7,5,3,1,1,,,,,,13,7,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,21,3,4,1,0,,,,,,,,,,,7,4,3,1,1,,,,,,38,7,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,4,4,1,0,,,,,,,,,,,7,6,3,2,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,5,6,3,2,0,,,,,,16,3,4,1,1,,,,,,,,,,,8,6,3,2,0,,,,,,7.5,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3,3,1,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,25,3,4,1,0,,,,,,22,3,4,1,1,,,,,,,,,,,,,,,,,,,,,38,7,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,2,4,3,2,0,,,,,,10,3,4,1,1,,,,,,,,,,,5,5,3,1,0,,,,,,1.6,5,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,4,1,1,,,,,,,,,,,5,3,3,1,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,22,3,4,1,0,,,,,,20,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,2,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,280,3,7,2,0,,,,,,,,,,,,,,,,,,,,,6,5,3,1,0,,,,,,15,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,1,0,,,,,,,,,,,7,3,3,1,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,13,5,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,4,1,1,,,,,,,,,,,6,5,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,4,1,0,,,,,,,,,,,15,8,4,2,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,1,5,3,2,0,,,,,,35,5,4,1,1,,,,,,,,,,,44,6,7,2,0,,,,,,2,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,4,1,1,,,,,,,,,,,,,,,,,,,,,1.5,6,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,1,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,4,6,3,2,0,,,,,,8,4,3,1,1,,,,,,,,,,,,,,,,,,,,,10,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5,3,2,0,,,,,,,,,,,1.8,5,3,2,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,2,1,,,,,,,,,,,,,,,,,,,,,5,6,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,63,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,6,3,2,0,,,,,,,,,,,2.2,6,3,2,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,4,1,1,,,,,,,,,,,,,,,,,,,,,7.5,8,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,1,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,8,3,3,1,0,,,,,,15,3,4,1,1,,,,,,,,,,,,,,,,,,,,,8,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,,,,,,1.5,5,3,2,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,4,1,1,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,5,3,3,1,0,,,,,,16,8,6,1,0,,,,,,,,,,,,,,,,,,,,,14,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,2,0,,,,,,,,,,,3,3,3,1,1,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,3,2,0,,,,,,,,,,,,,,,,,,,,,45,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,1,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,6,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,4,1,0,,,,,,,,,,,3.5,5,3,1,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,16,3,4,1,1,,,,,,6,3,3,1,0,,,,,,,,,,,,,,,,,,,,,21,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,9,3,3,1,1,,,,,,2,7,3,2,0,,,,,,,,,,,,,,,,,,,,,4.5,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,4,1,0,,,,,,,,,,,12.5,6,4,2,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,6,1,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,10,3,4,1,0,,,,,,,,,,,,,,,,,,,,,2.2,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,4,1,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,2,0,,,,,,,,,,,4.5,5,3,2,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,1,0,,,,,,,,,,,,,,,,,,,,,5.5,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,4,1,0,,,,,,,,,,,14,4,4,1,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,4,1,0,,,,,,,,,,,,,,,,,,,,,5,8,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,4,1,0,,,,,,,,,,,2.5,5,3,1,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,5,5,3,1,1,,,,,,2,6,3,2,0,,,,,,,,,,,,,,,,,,,,,5.5,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,6,3,2,0,,,,,,,,,,,1.8,6,3,2,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,2,5,3,1,0,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,,,,,,,1,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,,,,,,,3,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,4,1,0,,,,,,,,,,,2.5,4,3,1,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,,,,,,,8,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,7,5,3,1,1,,,,,,0.5,6,3,2,0,,,,,,,,,,,,,,,,,,,,,34,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,4,1,0,,,,,,,,,,,13.5,6,4,2,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,9,5,3,1,1,,,,,,12,3,4,1,0,,,,,,,,,,,,,,,,,,,,,27,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,5,3,2,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,8,3,3,1,0,,,,,,22,3,4,1,0,,,,,,,,,,,,,,,,,,,,,14,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,3,2,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,3,5,3,2,0,,,,,,2,7,3,2,0,,,,,,,,,,,,,,,,,,,,,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,4,1,0,,,,,,,,,,,4,3,3,1,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,8,4,2,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,9,4,3,1,1,,,,,,1,7,3,2,0,,,,,,,,,,,,,,,,,,,,,7,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,10,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5,3,2,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,11,4,4,1,1,,,,,,17,3,4,1,0,,,,,,,,,,,,,,,,,,,,,9,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,22,4,4,1,1,,,,,,8,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,2,1,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,11,5,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,3,1,0,,,,,,,,,,,7,6,3,2,1,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,2,6,3,2,0,,,,,,13,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,3,2,0,,,,,,,,,,,32,6,4,2,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,20,4,4,1,0,,,,,,11,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,4,5,3,2,0,,,,,,12,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,5,3,2,0,,,,,,,,,,,7.5,6,3,2,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
